CARRIER_ACTYPE,seats,carrier,min,max,source
F9_A20N,186,F9,186,186,https://seatmaps.com/airlines/f9-frontier-airlines/airbus-a320neo/
NK_A20N,176,NK,176,176,https://seatmaps.com/airlines/nk-spirit-airlines/airbus-a320neo/
AA_A21N,155,AA,155,196,https://seatmaps.com/airlines/aa-american-airlines/airbus-a321neo/
DL_A21N,194,DL,194,194,https://seatmaps.com/airlines/dl-delta/airbus-a321neo/
F9_A21N,240,F9,240,240,https://seatmaps.com/airlines/f9-frontier-airlines/airbus-a321neo/
NK_A21N,229,NK,229,229,https://seatmaps.com/airlines/nk-spirit-airlines/airbus-a321neo/
AA_A319,128,AA,128,128,https://seatmaps.com/airlines/aa-american-airlines/airbus-a319/
DL_A319,132,DL,132,132,https://seatmaps.com/airlines/dl-delta/airbus-a319/
AC_A320,70,AC,70,168,https://seatmaps.com/airlines/ac-air-canada/airbus-a320/
B6_A320,150,B6,150,162,https://seatmaps.com/airlines/b6-jetblue-airways/airbus-a320/
DL_A320,157,DL,157,157,https://seatmaps.com/airlines/dl-delta/airbus-a320/
F9_A320,180,F9,180,186,https://seatmaps.com/airlines/f9-frontier-airlines/airbus-a320/
NK_A320,176,NK,176,176,https://seatmaps.com/airlines/nk-spirit-airlines/airbus-a320/
AA_A321,102,AA,102,190,https://seatmaps.com/airlines/aa-american-airlines/airbus-a321/
AC_A321,184,AC,184,196,https://seatmaps.com/airlines/ac-air-canada/airbus-a321/
B6_A321,159,B6,159,200,https://seatmaps.com/airlines/b6-jetblue-airways/airbus-a321/
DL_A321,191,DL,191,191,https://seatmaps.com/airlines/dl-delta/airbus-a321/
F9_A321,230,F9,230,230,https://seatmaps.com/airlines/f9-frontier-airlines/airbus-a321/
4Y_A333,283,4Y,283,302,https://seatmaps.com/airlines/4y-discover-airlines/airbus-a330-300/
DL_A333,282,DL,282,282,https://seatmaps.com/airlines/dl-delta/airbus-a330-300/
IB_A333,292,IB,292,292,https://seatmaps.com/airlines/ib-iberia/airbus-a330-300/
AA_B38M,172,AA,172,172,https://seatmaps.com/airlines/aa-american-airlines/boeing-737-max-8/
AC_B38M,169,AC,169,189,https://seatmaps.com/airlines/ac-air-canada/boeing-737-max-8/
UA_B38M,166,UA,166,166,https://seatmaps.com/airlines/ua-united/boeing-737-max-8/
WN_B38M,175,WN,175,175,https://seatmaps.com/airlines/wn-southwest-airlines/boeing-737-max-8/
UA_B39M,179,UA,179,179,https://seatmaps.com/airlines/ua-united/boeing-737-max-9/
UA_B737,126,UA,126,126,https://seatmaps.com/airlines/ua-united/boeing-737-700/
WN_B737,137,WN,137,143,https://seatmaps.com/airlines/wn-southwest-airlines/boeing-737-700/
AA_B738,172,AA,172,172,https://seatmaps.com/airlines/aa-american-airlines/boeing-737-800/
DL_B738,160,DL,160,160,https://seatmaps.com/airlines/dl-delta/boeing-737-800/
UA_B738,166,UA,166,166,https://seatmaps.com/airlines/ua-united/boeing-737-800/
WN_B738,175,WN,175,175,https://seatmaps.com/airlines/wn-southwest-airlines/boeing-737-800/
XP_B738,189,XP,189,189,https://seatmaps.com/airlines/xp-avelo-airlines/boeing-737-800/
DL_B739,173,DL,173,180,https://seatmaps.com/airlines/dl-delta/boeing-737-900/
UA_B739,179,UA,179,179,https://seatmaps.com/airlines/ua-united/boeing-737-900/
DL_B752,72,DL,72,199,https://seatmaps.com/airlines/dl-delta/boeing-757-200/
DL_B753,234,DL,234,234,https://seatmaps.com/airlines/dl-delta/boeing-757-300/
DL_B763,211,DL,211,226,https://seatmaps.com/airlines/dl-delta/boeing-767-300er/
UA_B764,231,UA,231,231,https://seatmaps.com/airlines/ua-united/boeing-767-400er/
B6_BCS3,140,B6,140,140,https://seatmaps.com/airlines/b6-jetblue-airways/airbus-a220-300/
MX_BCS3,126,MX,126,137,https://seatmaps.com/airlines/mx-breeze-airways/airbus-a220-300/#45d38ce7f5231602e24a2103a0300ae6